File_Path,Issue_Name,Line,Severity,Rule,Type
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SViewer.java,Use a logger to log this exception.,62,CRITICAL,Throwable.printStackTrace(...) should not be called,
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SViewer.java,"Remove this call to ""exit"" or ensure it is really required.",63,CRITICAL,Exit methods should not be called,CODE_SMELL
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SViewer.java,"Remove this call to ""exit"" or ensure it is really required.",155,CRITICAL,Exit methods should not be called,CODE_SMELL
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SViewer.java,if语句缺少大括号,71,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SViewer.java,if语句缺少大括号,75,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/examples/src/org/apache/poi/hslf/examples/PPT2PNG.java,if语句缺少大括号,78,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/contrib/poi-ruby/java/org/apache/poi/RubyOutputStream.java,Do not override the Object.finalize() method.,41,CRITICAL,The Object.finalize() method should not be overriden,CODE_SMELL
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SVFractionalFormat.java,Return a non null object.,216,CRITICAL,"""toString()"" and ""clone()"" methods should not return null",bug
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SVFractionalFormat.java,if语句缺少大括号,55,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SVFractionalFormat.java,if语句缺少大括号,57,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SVFractionalFormat.java,if语句缺少大括号,59,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/examples/src/org/apache/poi/hssf/usermodel/examples/EmeddedObjects.java,【oleNameoleName】应该作为equals的参数，而不是调用方,40,CRITICAL,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
poi-3.6/src/examples/src/org/apache/poi/hssf/usermodel/examples/EmeddedObjects.java,【oleNameoleName】应该作为equals的参数，而不是调用方,44,CRITICAL,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
poi-3.6/src/examples/src/org/apache/poi/hssf/usermodel/examples/EmeddedObjects.java,【oleNameoleName】应该作为equals的参数，而不是调用方,48,CRITICAL,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
poi-3.6/src/contrib/src/org/apache/poi/contrib/poibrowser/POIBrowser.java,"Remove this call to ""exit"" or ensure it is really required.",115,CRITICAL,Exit methods should not be called,CODE_SMELL
poi-3.6/src/contrib/src/org/apache/poi/contrib/poibrowser/POIBrowser.java,"Remove this call to ""exit"" or ensure it is really required.",72,CRITICAL,Exit methods should not be called,CODE_SMELL
poi-3.6/src/contrib/src/org/apache/poi/contrib/poibrowser/POIBrowser.java,Catch Exception instead of Throwable.,102,BLOCKER,Throwable and Error should not be caught,
poi-3.6/src/examples/src/org/apache/poi/ss/examples/CalendarDemo.java,常量【days】命名应全部大写并以下划线分隔,42,CRITICAL,[p3c]Constant variable names should be written in upper characters separated by underscores.,
poi-3.6/src/examples/src/org/apache/poi/ss/examples/CalendarDemo.java,常量【months】命名应全部大写并以下划线分隔,46,CRITICAL,[p3c]Constant variable names should be written in upper characters separated by underscores.,
poi-3.6/src/examples/src/org/apache/poi/ss/examples/CalendarDemo.java,【argsargs[i]】应该作为equals的参数，而不是调用方,56,CRITICAL,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
poi-3.6/src/examples/src/org/apache/poi/ss/examples/CalendarDemo.java,if语句缺少大括号,133,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/examples/src/org/apache/poi/ss/examples/CalendarDemo.java,if语句缺少大括号,139,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,【namename】应该作为equals的参数，而不是调用方,96,CRITICAL,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
poi-3.6/src/examples/src/org/apache/poi/xssf/eventusermodel/examples/FromHowTo.java,【namename】应该作为equals的参数，而不是调用方,122,CRITICAL,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
poi-3.6/src/examples/src/org/apache/poi/ss/examples/LoanCalculator.java,if语句缺少大括号,42,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/examples/src/org/apache/poi/ss/examples/LoanCalculator.java,【argsargs[0]】应该作为equals的参数，而不是调用方,42,CRITICAL,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
poi-3.6/src/examples/src/org/apache/poi/ss/examples/LoanCalculator.java,else语句缺少大括号,43,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/examples/src/org/apache/poi/ss/examples/LoanCalculator.java,if语句缺少大括号,143,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SViewerPanel.java,Use a logger to log this exception.,288,CRITICAL,Throwable.printStackTrace(...) should not be called,
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SViewerPanel.java,"Remove this call to ""exit"" or ensure it is really required.",273,CRITICAL,Exit methods should not be called,CODE_SMELL
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SViewerPanel.java,常量【magicCharFactor】命名应全部大写并以下划线分隔,46,CRITICAL,[p3c]Constant variable names should be written in upper characters separated by underscores.,
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SViewerPanel.java,if语句缺少大括号,72,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SViewerPanel.java,if语句缺少大括号,78,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/contrib/src/org/apache/poi/hssf/contrib/view/SViewerPanel.java,if语句缺少大括号,94,BLOCKER,"[p3c]Braces are used with if, else, for, do and while statements, even if the body contains only a single statement.",
poi-3.6/src/examples/src/org/apache/poi/hssf/usermodel/examples/EventExample.java,switch块缺少default语句,45,CRITICAL,"[p3c]In a switch block, each case should be finished by break/return.",
poi-3.6/src/contrib/src/org/apache/poi/contrib/poibrowser/Codec.java,Remove this useless shift,143,CRITICAL,Ints and longs should not be shifted by zero or more than their number of bits-1,BUG
poi-3.6/src/contrib/src/org/apache/poi/contrib/poibrowser/Codec.java,常量【hexval】命名应全部大写并以下划线分隔,40,CRITICAL,[p3c]Constant variable names should be written in upper characters separated by underscores.,
